symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,pullback_candles,stop_ticks,r_multiple
GOLD,4.694132612618018,TARGET,17,2016-05-16 03:51:00,2016-05-16 12:38:00,1281.9806999999998,1290.9420999999995,2,44.806999999998425,1.4257765974066354
GOLD,-10.702187572122636,STOP,1,2016-05-16 13:29:00,2016-05-16 13:38:00,1289.2879999999998,1286.2125,3,17.879999999997835,-3.1605148210292935
GOLD,-9.662038063427065,STOP_SAME_15M,0,2016-05-16 14:05:00,2016-05-16 14:10:00,1289.0877999999998,1285.9128,2,18.877999999997428,-3.045873821379654
GOLD,-9.788780571463754,STOP,1,2016-05-17 15:44:00,2016-05-17 15:50:00,1283.0817999999997,1280.1186,3,16.81799999999612,-3.2860033297663
GOLD,-5.372945787792962,STOP_SAME_15M,0,2016-05-19 23:19:00,2016-05-19 23:19:00,1262.9616999999998,1257.6411,2,40.61699999999746,-1.9305223921018972
GOLD,-5.104866442027468,STOP_SAME_15M,0,2016-05-20 13:44:00,2016-05-20 13:44:00,1262.4612,1257.0417,3,41.61200000000008,-1.9078638133230692
GOLD,-4.768993517233904,STOP_SAME_15M,0,2016-05-26 02:33:00,2016-05-26 02:34:00,1235.8345999999997,1230.2685,3,43.34599999999682,-1.8530436718498517
GOLD,-4.413345435691932,STOP_SAME_15M,0,2016-05-26 13:12:00,2016-05-26 13:14:00,1235.9347,1229.9688,4,47.34699999999975,-1.7808527467421305
GOLD,-6.505476543390501,STOP,1,2016-05-31 00:23:00,2016-05-31 01:00:00,1215.3140999999998,1211.9868000000001,4,21.140999999997803,-2.722009791400735
GOLD,-7.36036320199786,STOP_SAME_15M,0,2016-05-31 14:09:00,2016-05-31 14:11:00,1217.4161999999997,1214.5842,3,16.16199999999708,-3.25702289320666
GOLD,-7.196003418727729,STOP,1,2016-05-31 14:19:00,2016-05-31 14:39:00,1217.8165999999999,1215.0837,2,15.165999999999258,-3.4061718976659794
GOLD,-6.414323669526999,STOP_SAME_15M,0,2016-06-02 07:20:00,2016-06-02 07:27:00,1219.8185999999998,1216.9818,3,16.185999999997875,-3.2581245520823576
GOLD,-3.2629939372294348,STOP,1,2016-06-06 00:11:00,2016-06-06 00:46:00,1253.9526999999998,1247.8509,4,48.526999999999134,-1.7729518824572021
GOLD,0.6795972518596685,TARGET,1,2016-06-08 06:15:00,2016-06-08 06:49:00,1253.8525999999997,1256.9577999999992,2,15.525999999997566,0.38283498647404834
GOLD,-2.6808144209176925,STOP_SAME_15M,0,2016-06-08 07:35:00,2016-06-08 07:36:00,1262.3610999999999,1253.5452,2,75.61099999999897,-1.4986981127084662
GOLD,1.3418312920036914,TARGET,1,2016-06-08 12:52:00,2016-06-08 13:07:00,1261.6604,1265.7812000000001,2,20.604000000000724,0.7733247913027029
GOLD,0.6702732855675586,TARGET,1,2016-06-08 13:30:00,2016-06-08 13:54:00,1263.6623999999997,1266.7871999999993,3,15.623999999997977,0.38040860215032857
GOLD,-5.590519510174566,STOP_SAME_15M,0,2016-06-08 14:18:00,2016-06-08 14:20:00,1264.8635999999997,1261.8369,2,17.635999999997694,-3.148900260830342
GOLD,0.6285702237145181,TARGET,1,2016-06-10 12:58:00,2016-06-10 13:10:00,1274.1728999999998,1277.3186999999996,2,15.728999999998905,0.37784245660869925
GOLD,-5.287906359110885,STOP_SAME_15M,0,2016-06-10 13:24:00,2016-06-10 13:26:00,1277.1759,1274.1246,2,17.75899999999865,-3.154795033504297
GOLD,-4.955530504308465,STOP_SAME_15M,0,2016-06-10 13:38:00,2016-06-10 13:39:00,1278.8775999999998,1275.8229,2,17.77599999999893,-3.155603341584299
GOLD,-2.2017304689033472,STOP_SAME_15M,0,2016-06-13 11:45:00,2016-06-13 11:46:00,1295.4941999999999,1286.4123,4,77.94199999999819,-1.4964725693464596
GOLD,-2.118304442067644,STOP,1,2016-06-13 12:28:00,2016-06-13 12:31:00,1296.0947999999999,1286.8119,2,79.94799999999941,-1.484190561364889
GOLD,-2.668927552749511,STOP_SAME_15M,0,2016-06-15 20:01:00,2016-06-15 20:01:00,1301.3,1295.8029,2,42.000000000000455,-1.9271911666666566
GOLD,-2.412921911435466,STOP,1,2016-06-16 00:36:00,2016-06-16 00:48:00,1303.8024999999998,1297.701,4,48.02499999999782,-1.8121818844352224
GOLD,1.0397632556996657,TARGET,1,2016-06-16 14:14:00,2016-06-16 14:20:00,1314.1127999999999,1318.5383999999995,4,22.127999999997883,0.8102624728849189
GOLD,-2.291136097936203,STOP_SAME_15M,0,2016-06-16 14:32:00,2016-06-16 14:32:00,1320.9195999999997,1314.3843,3,52.19599999999673,-1.756955303088427
GOLD,0.46282496884704494,TARGET_SAME_15M,0,2016-06-16 15:10:00,2016-06-16 15:10:00,1316.5151999999998,1319.7455999999993,2,16.151999999997315,0.3678424962850191
GOLD,-3.9960128055071618,STOP,1,2016-06-22 15:42:00,2016-06-22 15:45:00,1272.8715999999997,1269.8289,2,17.715999999998076,-3.1527435651390534
GOLD,-4.093259056631492,STOP_SAME_15M,0,2016-06-24 12:07:00,2016-06-24 12:08:00,1329.3279999999997,1326.3723,2,16.279999999997017,-3.44680608108156
GOLD,-1.705373525494274,STOP_SAME_15M,0,2016-06-24 19:23:00,2016-06-24 19:23:00,1330.329,1321.677,2,73.28999999999951,-1.5423667621776667
GOLD,0.5818293244962469,TARGET_SAME_15M,0,2016-06-26 22:08:00,2016-06-26 22:12:00,1331.4300999999998,1335.0902999999996,2,18.30099999999902,0.5429646467405376
GOLD,0.2782941308865581,TARGET,1,2016-06-26 23:14:00,2016-06-26 23:24:00,1335.9345999999998,1339.0037999999993,2,15.345999999997275,0.2569148963896298
GOLD,-3.4633532765194786,STOP_SAME_15M,0,2016-06-27 01:55:00,2016-06-27 01:57:00,1333.9325999999999,1330.7678999999998,3,18.325999999999567,-3.1809453781513564
GOLD,-1.5400026980300272,STOP_SAME_15M,0,2016-06-27 02:07:00,2016-06-27 02:08:00,1339.5382,1330.3683,2,78.38199999999915,-1.5105262049960448
GOLD,-3.027994830405758,STOP_SAME_15M,0,2016-06-29 01:11:00,2016-06-29 01:14:00,1322.7214,1319.4792,2,19.213999999999487,-3.0625588633288583
GOLD,-1.3608524466407266,STOP_SAME_15M,0,2016-06-29 02:23:00,2016-06-29 02:24:00,1331.7304,1321.8768,2,85.30399999999872,-1.4661923473694203
GOLD,0.7263011027155929,TARGET_SAME_15M,0,2016-06-29 13:07:00,2016-06-29 13:10:00,1325.3239999999998,1329.7719999999997,3,22.239999999999327,0.8061618705035609
GOLD,-3.0256168134372787,STOP_SAME_15M,0,2016-06-29 14:52:00,2016-06-29 14:53:00,1329.1277999999998,1326.0726000000002,3,17.27799999999661,-3.305012385693182
GOLD,-2.946878467129189,STOP_SAME_15M,0,2016-06-29 15:45:00,2016-06-29 15:46:00,1329.4280999999999,1326.4722,2,16.28099999999904,-3.446840058964596
GOLD,-2.6295496755458516,STOP,1,2016-06-30 19:27:00,2016-06-30 19:43:00,1325.1237999999998,1322.0766,3,17.237999999997555,-3.303399698341197
GOLD,-1.3126197483717752,STOP_SAME_15M,0,2016-07-01 05:50:00,2016-07-01 05:51:00,1341.2399,1334.664,2,52.39900000000034,-1.7656451268153945
GOLD,-2.0640662347863383,STOP,1,2016-07-01 14:09:00,2016-07-01 14:15:00,1341.9405999999997,1338.4602,3,21.40599999999722,-2.8780719424462724
GOLD,-2.236979195880396,STOP,1,2016-07-01 14:28:00,2016-07-01 14:45:00,1340.8394999999998,1337.7609,2,17.394999999999072,-3.3096869215292504
GOLD,0.387342744686847,TARGET_SAME_15M,0,2016-07-01 20:07:00,2016-07-01 20:12:00,1345.9445999999998,1349.8337999999994,2,19.445999999998094,0.6137105831532121
GOLD,-2.035893890249939,STOP_SAME_15M,0,2016-07-04 00:02:00,2016-07-04 00:07:00,1346.6453,1343.4551999999999,2,18.45299999999952,-3.1865823985260837
GOLD,0.5593108822508055,TARGET_SAME_15M,0,2016-07-04 02:31:00,2016-07-04 02:33:00,1359.7583999999997,1364.875199999999,2,25.58399999999665,0.9350243902437635
GOLD,-1.7581728326069173,STOP,1,2016-07-04 09:59:00,2016-07-04 10:14:00,1355.7544,1352.2464,2,21.544000000001233,-2.885258447827554
GOLD,-1.5647249612548848,STOP_SAME_15M,0,2016-07-04 13:49:00,2016-07-04 13:53:00,1355.9545999999998,1352.2464,2,23.545999999998912,-2.725049265268029
GOLD,-1.8763345181750073,STOP_SAME_15M,0,2016-07-05 16:40:00,2016-07-05 16:41:00,1357.1557999999998,1354.1445,2,16.55799999999772,-3.4560939123085235
GOLD,-1.6134626877242815,STOP_SAME_15M,0,2016-07-05 17:54:00,2016-07-05 17:56:00,1360.359,1357.1415,3,18.589999999999236,-3.1925769230770396
GOLD,0.4928148410598639,TARGET_SAME_15M,0,2016-07-06 01:45:00,2016-07-06 01:47:00,1373.2719,1379.0156999999997,2,28.718999999998687,1.0416492217695166
GOLD,-0.8991336933663905,STOP_SAME_15M,0,2016-07-06 03:02:00,2016-07-06 03:04:00,1374.6732999999997,1368.5301000000002,2,47.73299999999608,-1.8616896905705183
GOLD,0.34066515167222167,TARGET,1,2016-07-06 11:11:00,2016-07-06 11:27:00,1375.5741999999996,1379.9225999999985,3,21.741999999994732,0.7326387636828875
GOLD,-1.5677985089003605,STOP,1,2016-07-06 11:41:00,2016-07-06 11:50:00,1375.1737999999998,1372.0266000000001,4,17.7379999999971,-3.3230355169695684
GOLD,-1.4635846961026164,STOP_SAME_15M,0,2016-07-06 12:16:00,2016-07-06 12:20:00,1375.0736999999997,1371.9267,4,17.73699999999735,-3.322997350172288
GOLD,-1.4222625294512836,STOP_SAME_15M,0,2016-07-08 19:18:00,2016-07-08 19:19:00,1366.2649,1363.2353999999998,2,16.648999999999887,-3.4590667907983286
GOLD,-1.141709053903743,STOP,1,2016-07-08 20:25:00,2016-07-08 20:55:00,1367.8664999999999,1364.4342,2,20.664999999999054,-2.9831118799904295
GOLD,-1.1916647650602927,STOP_SAME_15M,0,2016-07-13 17:09:00,2016-07-13 17:14:00,1344.6432999999997,1341.5571,2,17.432999999996355,-3.3111916480244035
GOLD,0.15401555254074967,TARGET,3,2016-07-19 15:44:00,2016-07-19 17:40:00,1333.5321999999996,1336.996599999999,2,17.321999999996933,0.4583022745638659
GOLD,-0.48125007271625037,STOP_SAME_15M,0,2016-07-21 15:58:00,2016-07-21 15:59:00,1339.0376999999999,1328.1705,2,95.37699999999859,-1.4190431865124833
GOLD,-0.5674395858391071,STOP_SAME_15M,0,2016-07-21 16:40:00,2016-07-21 16:40:00,1336.3349999999998,1329.4692,2,55.349999999998545,-1.7220603794038045
GOLD,-0.4541900487088639,STOP_SAME_15M,0,2016-07-27 13:31:00,2016-07-27 13:32:00,1337.1357999999998,1326.4722,2,93.35799999999836,-1.4275378649928334
GOLD,0.14214845899337267,TARGET_SAME_15M,0,2016-07-27 14:40:00,2016-07-27 14:40:00,1327.5261999999998,1330.9785999999995,2,17.261999999998352,0.4599091646389452
GOLD,-0.45200873258636526,STOP,1,2016-07-27 19:14:00,2016-07-27 19:15:00,1345.3439999999998,1335.0636000000002,2,89.43999999999733,-1.4491063953488408
GOLD,-0.42938056621516774,STOP,1,2016-07-27 19:59:00,2016-07-27 20:09:00,1350.1487999999997,1339.1595,2,96.4879999999971,-1.4176486506094168
GOLD,-0.49117354467797214,STOP,1,2016-07-29 13:00:00,2016-07-29 13:25:00,1354.2529,1346.8518000000001,5,60.52899999999909,-1.668985891060478
GOLD,-0.7962613477480232,STOP_SAME_15M,0,2016-07-29 14:02:00,2016-07-29 14:06:00,1351.1498,1347.5511000000001,2,22.49799999999823,-2.7990936527692574
GOLD,-0.4353376021757936,STOP_SAME_15M,0,2016-07-29 19:25:00,2016-07-29 19:29:00,1363.3619999999999,1355.4432,2,65.61999999999898,-1.6210919231941612
GOLD,-0.8297031033006899,STOP_SAME_15M,0,2016-08-02 07:02:00,2016-08-02 07:07:00,1361.6602999999998,1358.4402,2,18.602999999998246,-3.1931411600281323
GOLD,-0.8418813572386021,STOP_SAME_15M,0,2016-08-02 13:04:00,2016-08-02 13:07:00,1372.3709999999999,1369.3293,2,16.709999999998217,-3.4610414721725804
GOLD,-0.30241388694345633,STOP_SAME_15M,0,2016-08-02 13:57:00,2016-08-02 13:58:00,1382.9815999999998,1369.3293,2,122.81599999999798,-1.3357063330510692
GOLD,-0.3498682144577221,STOP_SAME_15M,0,2016-08-04 13:38:00,2016-08-04 13:41:00,1370.369,1362.0366000000001,2,69.68999999999824,-1.5877178361314481
GOLD,-0.3387583743699223,STOP,2,2016-08-04 13:50:00,2016-08-04 14:26:00,1370.369,1362.0366000000001,2,69.68999999999824,-1.5877178361314477
GOLD,-0.6841621981304024,STOP_SAME_15M,0,2016-08-09 13:44:00,2016-08-09 13:44:00,1346.0447,1342.9557,4,17.44699999999966,-3.3117443686593995
GOLD,-0.31172598812958857,STOP,2,2016-08-09 14:12:00,2016-08-09 14:36:00,1349.2478999999996,1341.3573000000001,2,65.47899999999572,-1.615969272591241
GOLD,-0.5961410460670372,STOP,1,2016-08-10 13:12:00,2016-08-10 13:15:00,1362.6612999999998,1359.4392,2,18.61299999999801,-3.1935746521250543
GOLD,-0.5575936544482198,STOP_SAME_15M,0,2016-08-16 08:02:00,2016-08-16 08:04:00,1356.4550999999997,1353.2454,2,18.550999999997657,-3.1908794674143737
GOLD,-0.2877197446089467,STOP,1,2016-08-17 23:57:00,2016-08-18 00:01:00,1359.0576999999998,1352.3463000000002,2,53.57699999999795,-1.7587405043208924
GOLD,-0.27560774199231663,STOP_SAME_15M,0,2016-08-18 02:02:00,2016-08-18 02:07:00,1362.2609,1355.4432,2,54.60900000000038,-1.7461231848230134
GOLD,-0.525995746205979,STOP_SAME_15M,0,2016-08-23 07:18:00,2016-08-23 07:20:00,1347.9465999999998,1344.9537,2,16.465999999998076,-3.4530549617395847
GOLD,-0.42171151567383414,STOP_SAME_15M,0,2016-08-23 13:15:00,2016-08-23 13:16:00,1349.1477999999997,1345.7529,2,20.477999999998246,-2.9738259107336162
GOLD,-0.3954158871893634,STOP,2,2016-08-26 11:21:00,2016-08-26 12:00:00,1331.1297999999997,1327.7709,2,20.297999999997955,-2.9647259335896776
GOLD,-0.22705897246989107,STOP_SAME_15M,0,2016-08-26 12:47:00,2016-08-26 12:48:00,1335.5341999999998,1329.2694,2,49.34199999999919,-1.8097368570386425
SILVER,-0.17050564953454445,STOP_SAME_15M,0,2016-08-26 14:20:00,2016-08-26 14:23:00,19.10909,18.95103,2,27.8179999999999,-1.4100231504781056
GOLD,-0.40460537391120555,STOP_SAME_15M,0,2016-09-01 17:21:00,2016-09-01 17:23:00,1318.3169999999998,1315.3833,2,16.169999999997344,-3.443042857143309
GOLD,-0.243849088786764,STOP_SAME_15M,0,2016-09-02 12:29:00,2016-09-02 12:29:00,1321.1197999999997,1316.5821,2,32.19799999999623,-2.2285241008759775
GOLD,-0.18674925006096355,STOP_SAME_15M,0,2016-09-06 17:31:00,2016-09-06 17:32:00,1354.5531999999998,1348.0506,2,51.531999999997424,-1.786308274470283
GOLD,-0.36339582250963337,STOP_SAME_15M,0,2016-09-19 02:45:00,2016-09-19 02:46:00,1320.4190999999998,1317.5811,2,15.19099999999753,-3.6047661115138094
GOLD,-0.1543461971066798,STOP,1,2016-09-21 12:55:00,2016-09-21 13:02:00,1333.1317999999999,1325.673,2,61.31799999999885,-1.6500219837568206
GOLD,-0.1593791372996618,STOP,2,2016-09-21 13:29:00,2016-09-21 13:53:00,1332.6312999999998,1326.0726000000002,2,52.31299999999692,-1.7619719572573038
GOLD,0.13689973741973835,TARGET_SAME_15M,0,2016-09-21 18:09:00,2016-09-21 18:11:00,1338.7373999999998,1351.2121999999993,2,62.37399999999752,1.5687386411004416
GOLD,-0.23198171518464797,STOP_SAME_15M,0,2016-09-21 18:32:00,2016-09-21 18:33:00,1333.6322999999998,1329.7688999999998,4,25.3229999999985,-2.5774202108756237
GOLD,-0.2319936064755197,STOP_SAME_15M,0,2016-09-22 12:50:00,2016-09-22 12:57:00,1342.341,1338.66,2,23.409999999998945,-2.717642460487014
GOLD,-0.2668584371228325,STOP,1,2016-09-30 08:12:00,2016-09-30 08:21:00,1330.9295999999997,1327.8708000000001,3,17.29599999999664,-3.3057356614249978
GOLD,-0.23118635697618944,STOP,1,2016-09-30 13:43:00,2016-09-30 13:45:00,1331.0296999999998,1327.7709,2,19.296999999999116,-3.0665909726901117
GOLD,-0.12272747536781112,STOP_SAME_15M,0,2016-10-07 13:11:00,2016-10-07 13:12:00,1268.6674,1262.2365,2,51.67400000000043,-1.7342965321051185
GOLD,-0.16928440690384639,STOP_SAME_15M,0,2016-10-07 13:33:00,2016-10-07 13:40:00,1265.6644,1261.8369,3,25.643999999999778,-2.4781630400873214
GOLD,-0.2222989731103544,STOP,1,2016-10-10 01:28:00,2016-10-10 01:30:00,1264.6634,1261.8369,2,15.634000000000015,-3.42394799795311
GOLD,-0.16165816443289294,STOP,2,2016-10-13 04:16:00,2016-10-13 04:57:00,1263.4622,1259.9388000000001,4,22.621999999998934,-2.6729736539652094
GOLD,-0.17345399737887138,STOP,1,2016-10-17 13:38:00,2016-10-17 13:58:00,1258.1569,1255.0437,2,18.56899999999996,-3.0299965533954536
GOLD,0.014516778226954873,TARGET_SAME_15M,0,2016-10-18 06:30:00,2016-10-18 06:36:00,1262.8615999999997,1265.784799999999,2,14.615999999996347,0.2699463601528253
GOLD,-0.19407443479807365,STOP_SAME_15M,0,2016-10-18 11:35:00,2016-10-18 11:40:00,1263.9626999999998,1261.2375,2,14.626999999998134,-3.5895263553705674
GOLD,-0.08583926774969386,STOP,1,2016-10-19 13:42:00,2016-10-19 13:46:00,1277.0757999999998,1270.4283,2,53.75799999999799,-1.7104438595186116
GOLD,-0.17409422828643273,STOP_SAME_15M,0,2016-10-25 12:40:00,2016-10-25 12:43:00,1272.4711999999997,1269.729,2,14.71199999999726,-3.5918979064713623
GOLD,-0.1541902982704378,STOP_SAME_15M,0,2016-10-25 16:49:00,2016-10-25 16:55:00,1274.273,1271.4273,3,15.729999999998654,-3.4274636363638353
GOLD,0.01975511130775475,TARGET_SAME_15M,0,2016-11-01 10:25:00,2016-11-01 10:27:00,1285.5842999999998,1288.952899999999,3,16.842999999996664,0.4714497417321685
GOLD,0.019910385948437054,TARGET,2,2016-11-01 12:20:00,2016-11-01 12:47:00,1288.1868999999997,1291.560699999999,2,16.86899999999696,0.47071693639192375
GOLD,-0.14062448169168976,STOP,1,2016-11-02 12:42:00,2016-11-02 12:51:00,1301.1998999999998,1298.2005,4,16.998999999998432,-3.2936057415144653
GOLD,-0.06826830051536888,STOP_SAME_15M,0,2016-11-02 14:20:00,2016-11-02 14:20:00,1311.2098999999998,1304.3943000000002,2,55.098999999997886,-1.7116833699341254
GOLD,0.038311074495828816,TARGET_SAME_15M,0,2016-11-03 04:03:00,2016-11-03 04:07:00,1307.5061999999998,1312.7185999999992,2,26.06199999999717,0.9946186785356903
GOLD,-0.10103796632034577,STOP_SAME_15M,0,2016-11-09 06:41:00,2016-11-09 06:42:00,1323.9225999999999,1320.0786,2,25.22599999999784,-2.571950051534282
GOLD,-0.06058172893142318,STOP,1,2016-11-09 07:18:00,2016-11-09 07:43:00,1323.322,1315.683,2,63.21999999999889,-1.6257521354002018
GOLD,-0.06662728542692774,STOP,1,2016-11-14 18:29:00,2016-11-14 18:30:00,1225.8245999999997,1220.2785,2,43.24599999999691,-1.8480791518291557
GOLD,-0.10860601644914963,STOP_SAME_15M,0,2016-11-14 18:53:00,2016-11-14 18:56:00,1222.7214999999999,1219.779,2,17.21499999999878,-3.1280862619809837
GOLD,-0.111060464854337,STOP_SAME_15M,0,2016-11-16 01:49:00,2016-11-16 01:52:00,1233.5322999999999,1230.768,2,15.322999999998501,-3.412256281407252
GOLD,-0.10342746001281372,STOP_SAME_15M,0,2016-11-17 09:22:00,2016-11-17 09:29:00,1228.9277,1226.1726,2,15.27699999999868,-3.410486548406302
GOLD,-0.096244137177613,STOP,1,2016-11-21 09:04:00,2016-11-21 09:29:00,1217.216,1214.4843,2,15.15999999999849,-3.405936873351143
GOLD,-0.057160426835411775,STOP_SAME_15M,0,2016-11-21 12:26:00,2016-11-21 12:26:00,1219.2179999999998,1214.8838999999998,3,31.17999999999938,-2.170686946760798
GOLD,-0.048888065587924676,STOP_SAME_15M,0,2016-11-25 11:16:00,2016-11-25 11:16:00,1191.5904,1186.6122,4,37.904000000000906,-1.9407984909243983
GOLD,-0.07854619238951882,STOP,1,2016-11-25 12:42:00,2016-11-25 12:45:00,1189.7885999999999,1187.0118,3,15.885999999998148,-3.244114566285073
GOLD,-0.04452249236212264,STOP_SAME_15M,0,2016-11-28 00:29:00,2016-11-28 00:29:00,1191.7905999999998,1186.9118999999998,3,36.90599999999904,-1.9664559963150083
GOLD,-0.042267686921583864,STOP,1,2016-11-28 01:07:00,2016-11-28 01:16:00,1196.195,1191.2076000000002,3,37.949999999998454,-1.9432944927536369
GOLD,-0.07084177953702754,STOP,1,2016-12-01 20:05:00,2016-12-01 20:17:00,1174.4732999999999,1171.827,3,14.73299999999881,-3.388719405416607
