pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
558.6132537791754,TARGET,119,2020-01-06 15:41:00,2020-01-07 23:24:00,1565.1144348391267,1611.162170827632,2.7930662688958767
591.0594656626675,TARGET,92,2020-02-25 20:59:00,2020-02-26 20:50:00,1635.699239806569,1685.2520123423426,2.7989445747106685
594.7671307451776,TARGET,46,2020-03-04 07:15:00,2020-03-04 18:51:00,1633.9502817885489,1663.6760760502787,2.667195467128258
-350.9910790723191,STOP_SAME,0,2020-03-06 15:23:00,2020-03-06 15:27:00,1667.3716332594108,1655.6385827407182,-1.4942861624291512
-308.62147914365625,STOP,91,2020-03-09 05:29:00,2020-03-10 05:08:00,1671.0287920184803,1655.3098376451258,-1.3543812999189957
-385.3977620942952,STOP,2,2020-03-11 14:41:00,2020-03-11 15:14:00,1653.9226943290796,1645.5762459148204,-1.7384021958260292
-325.9409222666549,STOP,8,2020-03-11 17:00:00,2020-03-11 19:01:00,1645.6084571299796,1634.5749220035248,-1.5231696295419666
-307.70106645333067,STOP,4,2020-03-13 13:56:00,2020-03-13 14:55:00,1575.4132189194736,1564.1082135412607,-1.483112760289716
-273.3521444352493,STOP_SAME,0,2020-03-13 15:45:00,2020-03-13 15:45:00,1563.6853463223126,1549.102059662416,-1.3578279062496261
-263.48052129409484,STOP,31,2020-03-17 01:58:00,2020-03-17 09:33:00,1493.006576610483,1478.6350311592203,-1.345326829433603
-284.6008113669663,STOP_SAME,0,2020-03-17 09:45:00,2020-03-17 09:46:00,1479.7585149209347,1469.3287419407557,-1.493347460910295
-275.6218967850948,STOP,3,2020-03-17 10:00:00,2020-03-17 10:56:00,1478.1107828329032,1467.6456433080748,-1.4907580068608477
-279.2191911847235,STOP_SAME,0,2020-03-18 05:46:00,2020-03-18 05:52:00,1522.7491917720236,1513.0596759100013,-1.5566257636922414
-266.93810025976717,STOP_SAME,0,2020-03-18 06:00:00,2020-03-18 06:07:00,1521.4043812722632,1511.410263554253,-1.5359784892102273
-258.8536587750669,STOP_SAME,0,2020-03-18 06:15:00,2020-03-18 06:25:00,1519.9247522894148,1509.9511548672242,-1.5366658212672262
-244.4734780329505,STOP,1,2020-03-18 07:17:00,2020-03-18 07:40:00,1514.7960708007136,1504.1921693716993,-1.4973164291928043
-229.94895093978113,STOP_SAME,0,2020-03-18 08:00:00,2020-03-18 08:00:00,1509.340859360959,1497.8675701450998,-1.4518358215180318
425.78114808299927,TARGET,85,2020-03-20 13:45:00,2020-03-23 12:13:00,1491.644697363305,1530.8401323511232,2.768660444973721
460.8081663094488,TARGET,30,2020-03-24 14:56:00,2020-03-24 23:26:00,1624.0481004535277,1685.8025165852778,2.839209040047703
-244.773741893241,STOP,3,2020-03-25 04:38:00,2020-03-25 05:25:00,1660.0233323103664,1646.773020233342,-1.4271043358330702
-228.9362310036434,STOP,8,2020-03-25 05:47:00,2020-03-25 07:46:00,1655.9312383222234,1641.0800785816896,-1.3739832457877978
-212.52623134992623,STOP,11,2020-03-25 08:45:00,2020-03-25 11:32:00,1644.6443790455457,1627.2843266229766,-1.311537638095467
-215.21773716311915,STOP,46,2020-03-26 19:15:00,2020-03-27 07:49:00,1638.1225350345176,1623.0722613834012,-1.363924162556762
-181.1452363901011,STOP,116,2020-03-30 04:56:00,2020-03-31 10:54:00,1620.1626836471423,1591.8992635471725,-1.1801862690353009
-325.64773362985915,STOP_SAME,0,2020-04-01 12:00:00,2020-04-01 12:04:00,1600.4874362713647,1594.8057958281354,-2.1729292497817436
-281.1237960082351,STOP_SAME,0,2020-04-01 13:30:00,2020-04-01 13:30:00,1595.6564696858559,1589.096862163429,-1.961062143843338
-255.70860090709118,STOP_SAME,0,2020-04-01 16:47:00,2020-04-01 16:47:00,1593.3331635449115,1586.1799696707367,-1.8565886516990546
329.8797016587224,TARGET,52,2020-04-01 17:01:00,2020-04-02 07:12:00,1594.1491113382444,1612.9213683226533,2.487477108001796
292.0429416398232,TARGET_SAME,0,2020-04-02 12:15:00,2020-04-02 12:15:00,1599.7014389669102,1610.3756285369095,2.0978021198369894
-288.56162333165224,STOP,23,2020-04-03 01:00:00,2020-04-03 06:47:00,1630.8264896634605,1624.2669720536717,-1.9893306805935562
-338.13997912928323,STOP,2,2020-04-03 08:36:00,2020-04-03 09:13:00,1628.1699975976974,1623.1299501088338,-2.4277120472048557
285.3636989754768,TARGET_SAME,0,2020-04-03 12:00:00,2020-04-03 12:00:00,1626.5983560421082,1638.166697588604,2.153353562260701
337.43342409189853,TARGET_SAME,0,2020-04-03 19:21:00,2020-04-03 19:26:00,1633.5675479113036,1651.2003778681624,2.441138841499099
-304.06912169665617,STOP_SAME,0,2020-04-06 02:25:00,2020-04-06 02:25:00,1641.7836087889775,1635.6676265456774,-2.0973677772759984
285.8425341301165,TARGET_SAME,0,2020-04-06 07:06:00,2020-04-06 07:06:00,1639.7703227933594,1650.2477913229277,2.0579733726238647
-262.128372245164,STOP,2,2020-04-07 06:53:00,2020-04-07 07:28:00,1707.682330162072,1699.6942373160725,-1.8126321385133517
-245.10996881745194,STOP_SAME,0,2020-04-07 07:25:00,2020-04-07 07:28:00,1707.3523138926962,1698.9206407374434,-1.7587067070079054
-229.2843485529627,STOP,1,2020-04-07 07:30:00,2020-04-07 07:49:00,1705.8140150522725,1696.8809362379282,-1.7051316554882525
-221.6236841954258,STOP_SAME,0,2020-04-07 07:45:00,2020-04-07 07:49:00,1704.8081478034871,1695.892783096356,-1.7063522726934
-289.8830978259339,STOP,2,2020-04-08 11:09:00,2020-04-08 11:31:00,1681.9460086431443,1676.4255056420234,-2.3107630441004203
-259.5089918471084,STOP_SAME,0,2020-04-08 16:42:00,2020-04-08 16:42:00,1679.1517385970456,1673.1760191035382,-2.168875189575953
274.0757032388588,TARGET,50,2020-04-08 18:06:00,2020-04-09 07:37:00,1680.8381785736806,1697.5763957816898,2.3944848727248926
-201.03618023862958,STOP_SAME,0,2020-04-09 18:11:00,2020-04-09 18:11:00,1726.663854972931,1717.308396266781,-1.6761011111026964
292.73372503426737,TARGET,52,2020-04-13 02:04:00,2020-04-13 15:12:00,1727.2676351563427,1749.2367146797965,2.525263994862737
-252.946878758889,STOP_SAME,0,2020-04-14 00:31:00,2020-04-14 00:31:00,1759.3369922893053,1752.6932143464232,-2.0771368604911054
-242.2214945205215,STOP,2,2020-04-14 08:54:00,2020-04-14 09:16:00,1765.4771442947251,1758.8017093556796,-2.0752752884753587
-228.4105125491243,STOP_SAME,0,2020-04-14 09:30:00,2020-04-14 09:32:00,1763.5332374740024,1756.707320234754,-2.0416885869458445
-218.02987267321208,STOP,6,2020-04-14 09:47:00,2020-04-14 11:17:00,1763.0138201441882,1756.1418415223584,-2.0318682066057345
-204.59952003205592,STOP_SAME,0,2020-04-15 22:00:00,2020-04-15 22:00:00,1739.3977782006657,1732.3916978777204,-1.9874734883478742
235.89834084275182,TARGET,33,2020-04-15 22:47:00,2020-04-16 07:02:00,1739.0594656856854,1756.1472103537346,2.3863660634089223
-248.05712032605493,STOP_SAME,0,2020-04-16 13:20:00,2020-04-16 13:27:00,1748.6463264839008,1743.147686419356,-2.3950556376168395
-177.38763402740676,STOP,1,2020-04-22 12:00:00,2020-04-22 12:19:00,1711.911082162552,1703.7951977489247,-1.7988924229655299
-167.98925196930884,STOP_SAME,0,2020-04-22 12:18:00,2020-04-22 12:19:00,1710.83059016625,1702.455808894437,-1.767161878258777
-165.01539412939073,STOP,1,2020-04-24 13:50:00,2020-04-24 14:02:00,1746.8722744843296,1738.5954174632193,-1.7994777697476563
-154.39935451570702,STOP,21,2020-04-29 07:55:00,2020-04-29 13:14:00,1717.31607070398,1708.7255244689848,-1.7465690738403796
-143.93061444826037,STOP_SAME,0,2020-04-30 12:37:00,2020-04-30 12:42:00,1722.9893199492255,1713.7750422086697,-1.6870784237656515
-128.8651764855941,STOP_SAME,0,2020-04-30 12:45:00,2020-04-30 12:45:00,1719.911574466612,1709.0753436655355,-1.563235352694954
-123.38368061720631,STOP_SAME,0,2020-04-30 13:00:00,2020-04-30 13:09:00,1719.0549358694582,1707.9211326683094,-1.5450459301245345
-118.29081606697159,STOP,10,2020-04-30 13:15:00,2020-04-30 15:58:00,1717.2730437361463,1705.8575148403945,-1.5285037867704059
-113.17594517046615,STOP,70,2020-05-04 12:35:00,2020-05-05 07:07:00,1705.8261235399016,1694.109734052037,-1.5085273895701392
-96.00811163702389,STOP,81,2020-05-08 12:48:00,2020-05-11 10:13:00,1715.0303208968244,1697.333517454913,-1.3195067877201871
-86.15374323420927,STOP,279,2020-05-18 13:38:00,2020-05-21 14:20:00,1748.0041096500956,1722.2512464160777,-1.2161660820520634
-93.68764208848793,STOP,6,2020-06-02 15:28:00,2020-06-02 16:51:00,1737.1503741051263,1720.8545696705314,-1.3554862617793715
191.20175722693358,TARGET,356,2020-07-01 13:54:00,2020-07-07 14:54:00,1776.0338025418127,1845.4186096198584,2.8434187872819976
203.66624858139357,TARGET,82,2020-08-12 19:58:00,2020-08-13 17:20:00,1913.0721416717306,2000.565618721844,2.865808130194027
-98.48401896667032,STOP,17,2020-08-21 07:21:00,2020-08-21 11:42:00,1933.8888903193636,1913.4236463203044,-1.3106566593021751
201.16422204269392,TARGET,31,2020-08-26 05:51:00,2020-08-26 13:42:00,1915.710744969662,1962.1003411549689,2.7492232264341503
208.54700445337238,TARGET,29,2020-08-31 06:32:00,2020-08-31 13:50:00,1961.7046347278974,2001.546418102848,2.7015757792115718
-105.1354097043649,STOP,89,2020-09-01 14:20:00,2020-09-02 13:35:00,1969.5274342352698,1947.4967678781172,-1.292137149755459
-108.74160219929499,STOP,158,2020-09-04 12:40:00,2020-09-08 10:12:00,1925.245564211422,1907.8940877028047,-1.3719120127684663
208.43557277255465,TARGET,6,2020-09-09 11:14:00,2020-09-09 12:40:00,1919.8307326444872,1959.1267153015058,2.703866106482019
-114.2825098680963,STOP,6,2020-09-21 08:05:00,2020-09-21 09:33:00,1943.6186496567614,1927.4180437154325,-1.4064381612922623
212.45531729518257,TARGET,239,2020-10-23 14:30:00,2020-10-28 05:23:00,1900.6841623781525,1937.8666957873468,2.6902940300553126
-121.11262217543816,STOP_SAME,0,2020-11-04 01:00:00,2020-11-04 01:00:00,1896.1603121577798,1881.8421950563259,-1.4553281576890404
208.0660116388885,TARGET,87,2020-12-03 14:59:00,2020-12-04 13:30:00,1834.226156621901,1860.313950553402,2.5751415259324606
219.120066012556,TARGET,22,2020-12-07 09:15:00,2020-12-07 14:49:00,1831.747947366495,1858.0485733360658,2.5791206804388027
-141.2798605356367,STOP_SAME,0,2020-12-21 09:47:00,2020-12-21 09:47:00,1894.076460023088,1882.4545709960173,-1.5813443702791639
-133.6650892534738,STOP_SAME,0,2020-12-21 10:00:00,2020-12-21 10:02:00,1891.8643094822773,1879.6099290810344,-1.5449750469286145
-124.25576705760798,STOP_SAME,0,2020-12-21 10:15:00,2020-12-21 10:15:00,1888.143663161949,1874.5679742116145,-1.482010273460128
-116.78376872426091,STOP,109,2020-12-21 11:30:00,2020-12-22 15:57:00,1879.4668203996634,1864.714898393007,-1.4354377121041433
-125.81882876726853,STOP,5,2020-12-28 10:36:00,2020-12-28 11:55:00,1883.0343756960367,1871.656948681543,-1.5922015020485734
-110.7715964462675,STOP,140,2021-01-12 13:41:00,2021-01-14 02:31:00,1846.3369642301295,1832.1950808181377,-1.44788969869849
-114.22365007065423,STOP,1,2021-01-20 12:54:00,2021-01-20 13:14:00,1843.3205310688654,1831.241357232581,-1.5375349293880827
194.44890133089206,TARGET,5,2021-01-20 13:15:00,2021-01-20 14:40:00,1838.3883617390113,1875.5860714923203,2.7004674918540097
-120.90144876703536,STOP,79,2021-01-21 13:52:00,2021-01-22 10:30:00,1862.597856970324,1851.3567854170483,-1.5930173345107337
183.78862132241537,TARGET,17,2021-01-25 06:38:00,2021-01-25 10:49:00,1848.4628652758352,1870.837830192501,2.5013220298686174
-111.82221711829106,STOP,166,2021-01-29 17:46:00,2021-02-02 13:19:00,1849.5208060858888,1835.3948922958457,-1.449368611952094
187.49240268520478,TARGET,10,2021-02-05 14:07:00,2021-02-05 16:40:00,1795.5412572965536,1817.3364070180958,2.5027043570969383
193.08713522829527,TARGET,87,2021-02-09 14:45:00,2021-02-10 13:31:00,1837.112196743443,1857.4314426287979,2.454525478915328
195.2567571788971,TARGET,63,2021-02-10 15:44:00,2021-02-11 08:24:00,1836.6833728822066,1854.1467551902956,2.365959572499952
-176.01099813067557,STOP,1,2021-02-11 16:30:00,2021-02-11 16:55:00,1837.0604388431352,1829.9230437740898,-2.0363948554507214
-157.95096371989746,STOP_SAME,0,2021-02-11 17:00:00,2021-02-11 17:05:00,1834.3512896435075,1826.4579301002943,-1.905033647609541
188.75329441026128,TARGET,63,2021-02-15 07:35:00,2021-02-16 04:21:00,1816.4168651241146,1833.7081504361388,2.3667113318022186
-179.6235864464335,STOP_SAME,0,2021-02-16 11:56:00,2021-02-16 11:59:00,1817.6758334821159,1811.1327675699831,-2.15044736403501
-164.0602154015088,STOP,3,2021-02-16 12:00:00,2021-02-16 12:48:00,1817.521969921818,1810.5400597382652,-2.052394553341955
-130.82505996499523,STOP,2,2021-02-18 14:45:00,2021-02-18 15:18:00,1775.9863955420997,1766.7022541882368,-1.706678038042994
189.09674464693305,TARGET,2,2021-02-18 15:15:00,2021-02-18 15:55:00,1773.8109966549343,1797.8376748828155,2.5540396423930387
-146.90214819824973,STOP,21,2021-02-23 09:24:00,2021-02-23 14:40:00,1804.0175417975393,1796.1386963359996,-1.887711528536637
-136.675932779531,STOP,18,2021-02-25 07:10:00,2021-02-25 11:41:00,1789.957380964896,1781.6845448576476,-1.8252128498200937
-108.5293803610681,STOP,20,2021-03-01 12:42:00,2021-03-01 17:39:00,1735.2557829643172,1723.2511448268701,-1.5042464470543135
-113.91396181923999,STOP,7,2021-03-08 07:10:00,2021-03-08 08:52:00,1697.4892403283611,1687.717334452196,-1.627852008547303
-104.1355843501819,STOP,12,2021-03-08 09:09:00,2021-03-08 12:04:00,1690.975245889689,1679.9058776143404,-1.5381962671153042
-113.86254524560529,STOP,3,2021-03-11 13:45:00,2021-03-11 14:44:00,1725.7198513153976,1716.9812954957224,-1.7352574285815174
-100.47736412191806,STOP,55,2021-03-11 15:16:00,2021-03-12 06:08:00,1720.6054113617065,1710.1226878840118,-1.58632171127324
-117.14509738816076,STOP,11,2021-03-17 11:16:00,2021-03-17 14:02:00,1728.0121145671458,1720.6078529803947,-1.910069091549815
-102.58905945365078,STOP,1,2021-03-18 07:26:00,2021-03-18 07:36:00,1742.4857262236644,1733.6996458985627,-1.7391692919802864
-93.43358871129371,STOP,3,2021-03-18 08:00:00,2021-03-18 08:47:00,1739.7526247838146,1729.9071365277848,-1.641039564385513
-90.58108027537912,STOP,10,2021-03-18 10:30:00,2021-03-18 13:06:00,1732.1564122913237,1722.4024044143412,-1.6449267585014469
-94.74937743258909,STOP,27,2021-03-22 01:12:00,2021-03-22 07:48:00,1734.0400449627177,1725.6553363101211,-1.779153394630718
121.10675753344718,TARGET,35,2021-03-23 01:19:00,2021-03-23 10:09:00,1733.3211299047198,1749.59600010244,2.3579825053545407
121.84170341818714,TARGET,12,2021-04-05 02:40:00,2021-04-05 05:41:00,1724.2326332504108,1738.3744603001235,2.2654540856613274
120.56598008211739,TARGET,33,2021-04-05 05:56:00,2021-04-05 14:01:00,1723.014805904325,1735.1425312802942,2.1445657211111837
-145.34365482915356,STOP,5,2021-04-07 01:06:00,2021-04-07 02:28:00,1740.172628686995,1734.9120905283878,-2.4789719081081816
-131.06505621479124,STOP,36,2021-04-07 02:15:00,2021-04-07 11:23:00,1738.1342213811313,1732.5502511993532,-2.3520503975864697
-117.26498880807506,STOP,13,2021-04-09 03:01:00,2021-04-09 06:25:00,1752.1009024850232,1746.0115353559338,-2.2082785761717276
-105.3180457662088,STOP,1,2021-04-14 13:12:00,2021-04-14 13:18:00,1739.8821127319777,1733.3019500837559,-2.0749403450248503
