symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,t1_hit,r_multiple
GOLD,-508.0813010345181,STOP,1,2013-07-09 09:32:00,2013-07-09 10:59:00,1250.7700063861423,1247.0897143264856,False,-2.5404065051725904
GOLD,-487.7187500591085,STOP_SAME,0,2013-07-09 11:00:00,2013-07-09 11:04:00,1249.4109793240154,1245.7790488474006,False,-2.5691262511143536
GOLD,-12.847029579804747,T1_T2,3,2013-07-10 13:35:00,2013-07-10 14:21:00,1251.4424179073533,1254.583551590623,True,-0.07133909538162307
GOLD,-458.0567866130365,STOP_SAME,0,2013-07-10 17:20:00,2013-07-10 17:22:00,1252.7058005164017,1249.0304942167636,False,-2.547207248580249
GOLD,-423.47089922220925,STOP_SAME,0,2013-07-10 17:45:00,2013-07-10 17:47:00,1251.3795700454305,1247.6006010971566,False,-2.4812856171648425
GOLD,59.842064620002866,T1_T2,1,2013-07-11 12:16:00,2013-07-11 12:30:00,1280.4596721799944,1285.5480829261642,True,0.3689479298078569
GOLD,-349.10985305761335,STOP,2,2013-07-11 14:38:00,2013-07-11 15:02:00,1280.769414262316,1276.1186159136412,False,-2.1366222167842808
GOLD,57.00841971816685,T1_T2,3,2013-07-11 15:03:00,2013-07-11 19:24:00,1280.2467825411456,1285.3044009545204,True,0.3644779807494612
GOLD,-466.7738418748827,STOP_SAME,0,2013-07-15 12:30:00,2013-07-15 12:31:00,1286.2556774651964,1283.007968050652,False,-2.9626781285464987
GOLD,-16.969316619438594,T1_T2,3,2013-07-16 15:49:00,2013-07-16 19:35:00,1287.8165535652433,1290.9363509356258,True,-0.11449057379433122
GOLD,-522.9207152652411,STOP_SAME,0,2013-07-17 07:17:00,2013-07-17 07:25:00,1288.944793532242,1286.134423543512,False,-3.536199987736162
SILVER,-355.1369543311382,STOP_SAME,0,2013-07-17 07:16:00,2013-07-17 07:17:00,19.90132482307344,19.843837687581832,False,-2.584354680038264
GOLD,-59.5364691460369,T1_T2_SAME,0,2013-07-18 12:30:00,2013-07-18 12:37:00,1277.919223084413,1280.3445164540055,True,-0.45686476423620354
GOLD,-44.57117360319067,T1_T2,1,2013-07-19 08:37:00,2013-07-19 11:30:00,1287.1670363796025,1289.7955983083534,True,-0.3451796442532629
GOLD,-412.5491508809135,STOP_SAME,0,2013-07-23 09:17:00,2013-07-23 09:20:00,1333.8492017181084,1330.7145905723676,False,-3.2171802510171057
GOLD,-314.7065338181348,STOP_SAME,0,2013-07-23 11:00:00,2013-07-23 11:06:00,1330.0924533760979,1326.309993290431,False,-2.6229442866168453
GOLD,-358.25900636882733,STOP_SAME,0,2013-07-24 12:20:00,2013-07-24 12:21:00,1339.8014564271343,1336.5974705459587,False,-3.151246381716165
GOLD,-280.303652575576,STOP_SAME,0,2013-07-26 08:15:00,2013-07-26 08:17:00,1333.578424512306,1329.79877152776,False,-2.631394502674945
GOLD,5.128381319170458,T1_T2,7,2013-07-29 14:01:00,2013-07-29 16:07:00,1329.2749095748984,1332.9912307458287,True,0.05081792411588356
GOLD,-276.49442974590335,STOP,3,2013-07-29 16:45:00,2013-07-30 00:00:00,1329.006502007983,1325.3879004922414,False,-2.7370442740896683
GOLD,-274.5480064475985,STOP,1,2013-07-30 00:07:00,2013-07-30 07:19:00,1328.4631938182763,1325.0144705520531,False,-2.8751655558691063
GOLD,-274.78472051775367,STOP_SAME,0,2013-07-31 12:00:00,2013-07-31 12:09:00,1329.4880640676781,1326.220505986181,False,-3.053214451327348
GOLD,-263.0403552300852,STOP_SAME,0,2013-07-31 12:15:00,2013-07-31 12:15:00,1329.4688960185115,1326.2559906136617,False,-3.1128002636141363
GOLD,-165.5811942288682,STOP_SAME,0,2013-08-01 07:49:00,2013-08-01 07:56:00,1321.7509767356248,1316.8014289626074,False,-2.089563584792339
GOLD,0.6085024251027562,T1_T2,2,2013-08-01 08:13:00,2013-08-01 12:25:00,1318.3756181045953,1321.9200799026519,True,0.008013952638053176
GOLD,-126.11968175417866,T1_STOP_SAME,0,2013-08-01 12:33:00,2013-08-01 12:34:00,1321.6910364361736,1318.2212253303494,True,-1.6607249926831211
GOLD,-194.05042979991643,STOP_SAME,0,2013-08-01 13:03:00,2013-08-01 13:07:00,1321.724801624102,1317.9958674598554,False,-2.6430132240619924
SILVER,34.50468130374688,T1_T2,9,2013-08-02 18:52:00,2013-08-05 03:11:00,19.815762005834035,19.910470912267304,True,0.4961907804658369
GOLD,-121.2180180588858,T1_STOP,4,2013-08-09 06:04:00,2013-08-09 09:17:00,1307.2857333759537,1303.9403764624958,True,-1.7260335587491482
GOLD,-230.41451354453807,STOP_SAME,0,2013-08-09 09:23:00,2013-08-09 09:24:00,1308.1701122985207,1305.2290445313354,False,-3.3981997833633026
GOLD,-2.542247334224456,T1_T2_SAME,0,2013-08-12 10:47:00,2013-08-12 10:53:00,1326.8448765179428,1330.264278389452,True,-0.040227605990807096
GOLD,-164.55058043372782,STOP_SAME,0,2013-08-12 11:00:00,2013-08-12 11:00:00,1325.3396956666204,1321.5448262160228,False,-2.6058856774891255
SILVER,-129.4433575796167,STOP,1,2013-08-13 01:06:00,2013-08-13 01:21:00,21.258619802981457,21.182894692791585,False,-2.1673593657756616
GOLD,-79.8295321734733,T1_STOP,7,2013-08-12 17:49:00,2013-08-13 01:30:00,1333.3692090233867,1329.282761804758,True,-1.3337213921249602
SILVER,-116.3774373533744,STOP,1,2013-08-13 01:33:00,2013-08-13 01:51:00,21.240164116467778,21.160677044777138,False,-2.090514844654641
GOLD,-94.41335928640424,T1_STOP,2,2013-08-14 12:50:00,2013-08-14 13:19:00,1321.828987788327,1318.5014377908947,True,-1.769972084745476
GOLD,-5.820869176178064,T1_T2,2,2013-08-14 13:20:00,2013-08-14 13:50:00,1321.4139943061691,1324.6187070857536,True,-0.11312883016304524
GOLD,-145.45401824952862,STOP,1,2013-08-15 10:51:00,2013-08-15 11:00:00,1337.6582896512457,1334.1370133279338,False,-2.833315378099029
GOLD,-171.09261775588288,STOP_SAME,0,2013-08-15 11:03:00,2013-08-15 11:03:00,1337.0788412747281,1334.1614860564541,False,-3.532930714727977
GOLD,-122.48119696819623,STOP,1,2013-08-16 06:46:00,2013-08-16 09:46:00,1362.4683312027576,1358.7373613374968,False,-2.72143517306465
GOLD,-1.9875322062929364,T1_T2,3,2013-08-16 09:55:00,2013-08-16 12:31:00,1362.1603993263996,1365.6513925056117,True,-0.046703396518496275
GOLD,-108.07038165205782,STOP_SAME,0,2013-08-16 13:38:00,2013-08-16 13:40:00,1362.6788243783485,1358.6716932954716,False,-2.541831903884162
GOLD,10.000291197116452,T1_T2,3,2013-08-16 16:22:00,2013-08-16 18:15:00,1363.5378545268684,1368.207136940335,True,0.24780600237782602
GOLD,-112.9961665400864,STOP,4,2013-08-19 06:19:00,2013-08-19 10:57:00,1373.8078079258332,1370.1323111499157,False,-2.7862224424240205
GOLD,-69.67062171184085,T1_STOP,3,2013-08-19 12:00:00,2013-08-19 13:00:00,1373.138464511758,1369.7423813838604,True,-1.8192945427761669
SILVER,-68.41023811498029,STOP,1,2013-08-19 13:55:00,2013-08-19 14:02:00,23.12342935286232,23.01935827883858,False,-1.853835876311473
SILVER,-66.6591655908304,STOP_SAME,0,2013-08-19 14:03:00,2013-08-19 14:06:00,23.12004057739723,23.0180222743825,False,-1.8759375039241877
GOLD,-63.22451020453792,T1_STOP,1,2013-08-21 01:19:00,2013-08-21 05:36:00,1370.2655617338826,1366.910937424564,True,-1.848637202651836
GOLD,-101.96156996141971,STOP_SAME,0,2013-08-21 05:37:00,2013-08-21 05:38:00,1368.77445166349,1365.4507847280054,False,-3.0957376581010867
SILVER,16.489808480131046,T1_T2,8,2013-08-21 14:01:00,2013-08-21 16:08:00,22.937361402290104,23.05395837770882,True,0.5337045949808762
GOLD,-72.494289113043,STOP,2,2013-08-21 20:08:00,2013-08-21 22:46:00,1366.9896162098316,1362.528292297049,False,-2.3215497392846287
GOLD,-72.5332339849637,STOP_SAME,0,2013-08-21 22:53:00,2013-08-21 22:53:00,1366.2695220604353,1362.0564946442269,False,-2.4358980768034657
GOLD,0.4941186585105459,T1_T2,3,2013-08-22 16:46:00,2013-08-22 20:31:00,1370.7357449918925,1374.4523860919219,True,0.017443917659779002
GOLD,-18.02181960101381,T1_T2_SAME,0,2013-08-23 05:35:00,2013-08-23 05:43:00,1373.9048644803086,1376.2469086397803,True,-0.6360041110627604
SILVER,-58.7693796123786,STOP,1,2013-08-23 05:30:00,2013-08-23 06:01:00,23.07115122809843,22.985398646407788,False,-2.1007389503063005
GOLD,-103.54829522319193,STOP,2,2013-08-23 09:33:00,2013-08-23 11:32:00,1374.6192797708184,1371.807545620914,False,-3.8637153714823627
SILVER,9.628913580569156,T1_T2,10,2013-08-23 11:35:00,2013-08-23 14:03:00,23.05157724070657,23.145729220392475,True,0.3893739098176995
GOLD,-59.040194907402,STOP_SAME,0,2013-08-25 23:52:00,2013-08-25 23:54:00,1395.7709394398146,1391.325074486602,False,-2.369018126505014
SILVER,13.749890070983497,T1_T2,2,2013-08-27 19:56:00,2013-08-27 22:40:00,24.477051235811473,24.611858366398252,True,0.5791623176084271
GOLD,14.375067136403844,T1_T2,10,2013-08-27 18:09:00,2013-08-28 06:22:00,1414.0516748653913,1422.235168623421,True,0.605495546183729
GOLD,-61.831343330615326,STOP_SAME,0,2013-08-28 13:19:00,2013-08-28 13:21:00,1423.2436153479698,1419.0624978864616,False,-2.544133830101306
GOLD,-53.55382722007628,STOP,1,2013-08-28 13:30:00,2013-08-28 13:45:00,1422.368585394771,1417.726836655524,False,-2.3216774534043605
SILVER,-51.35879722332857,STOP,1,2013-09-03 20:19:00,2013-09-04 05:00:00,24.345826980538853,24.266923495554536,False,-2.3349374567384573
SILVER,-49.601675777222596,STOP_SAME,0,2013-09-04 05:02:00,2013-09-04 05:03:00,24.341587560379185,24.26391769771522,False,-2.365519835567574
GOLD,-76.1711310315842,STOP_SAME,0,2013-09-04 06:23:00,2013-09-04 06:23:00,1410.1083556760261,1407.197481535988,False,-3.8130212301615227
GOLD,-69.83414332782127,STOP_SAME,0,2013-09-09 10:47:00,2013-09-09 10:48:00,1386.7894333359932,1383.9115358645186,False,-3.7844003907847408
SILVER,-40.28672847735141,STOP,1,2013-09-09 10:48:00,2013-09-09 11:00:00,23.79082499256654,23.714776515745957,False,-2.361960783404097
SILVER,-38.00449586632339,STOP,1,2013-09-09 11:03:00,2013-09-09 11:30:00,23.774952323877073,23.69804581577841,False,-2.3386314388904816
GOLD,-59.566881970654286,STOP_SAME,0,2013-09-10 06:15:00,2013-09-10 06:16:00,1385.7174661369704,1382.8736836417386,False,-3.845343766900779
GOLD,-50.3948398172558,STOP_SAME,0,2013-09-11 10:03:00,2013-09-11 10:06:00,1364.3209972702368,1361.3386835055296,False,-3.524283659852445
GOLD,-3.580948337271857,T1_T2,4,2013-09-11 14:49:00,2013-09-11 15:52:00,1360.7751914951978,1363.705174856746,True,-0.2694180910325969
SILVER,-33.52196301189385,STOP_SAME,0,2013-09-12 01:01:00,2013-09-12 01:12:00,23.108731448406914,23.04059959330472,False,-2.535739319991802
SILVER,-30.33283746709093,STOP,1,2013-09-12 02:25:00,2013-09-12 03:09:00,23.098418542665566,23.026554156651805,False,-2.4170825570974452
GOLD,-32.105681269192004,STOP_SAME,0,2013-09-16 06:08:00,2013-09-16 06:14:00,1326.6650490914121,1322.986925887675,False,-2.6883095457380577
GOLD,-30.154379550325757,STOP_SAME,0,2013-09-16 06:46:00,2013-09-16 06:56:00,1326.24180267049,1322.536820620906,False,-2.6683900944789842
SILVER,-20.51826950349083,STOP,1,2013-09-16 12:00:00,2013-09-16 12:18:00,21.860184751392595,21.76713963987808,False,-1.9180431824313797
GOLD,-28.89761678591658,STOP_SAME,0,2013-09-17 12:35:00,2013-09-17 12:35:00,1316.6058898527765,1313.1112983035425,False,-2.8091022557014025
GOLD,-25.64814136872505,STOP,2,2013-09-17 12:47:00,2013-09-17 13:25:00,1315.9818720510689,1312.2671338026055,False,-2.6416372789555123
GOLD,-22.107707199551935,STOP_SAME,0,2013-09-19 13:36:00,2013-09-19 13:40:00,1364.1846953447905,1359.9136087948416,False,-2.4039991780824184
GOLD,-20.6331031428069,STOP_SAME,0,2013-09-19 13:45:00,2013-09-19 13:45:00,1363.649422000958,1359.2794608170832,False,-2.3569735070356104
GOLD,2.9877198921333843,T1_T2,4,2013-09-19 17:57:00,2013-09-19 18:57:00,1366.2407417959282,1371.593681808398,True,0.35817947271222855
SILVER,-6.213547459070178,T1_STOP,9,2013-09-19 18:00:00,2013-09-20 00:51:00,23.128539206472613,23.012341688823746,True,-0.7449042189068791
GOLD,-18.81821043134979,STOP,2,2013-09-19 19:49:00,2013-09-20 00:59:00,1365.982803066254,1361.3066753840833,False,-2.234347442055571
GOLD,-25.062482497332805,STOP,1,2013-09-23 18:56:00,2013-09-23 19:05:00,1324.9805158907247,1321.829786640295,False,-3.1722558005058055
SILVER,-17.35416840979219,STOP,2,2013-09-23 18:55:00,2013-09-23 19:34:00,21.807944904208018,21.73162542717721,False,-2.1965845325488647
SILVER,-15.878891876106046,STOP_SAME,0,2013-09-23 19:41:00,2013-09-23 19:42:00,21.79772485150096,21.723833368905204,False,-2.2516253934145363
GOLD,-22.432534276566575,STOP,3,2013-09-25 07:04:00,2013-09-25 08:10:00,1324.3028207577065,1321.27781891581,False,-3.330931475044614
GOLD,-20.710346075552174,STOP_SAME,0,2013-09-25 08:11:00,2013-09-25 08:12:00,1323.9147884040772,1320.8638498182224,False,-3.2946978004888687
SILVER,-13.566063569105054,STOP_SAME,0,2013-09-25 08:10:00,2013-09-25 08:11:00,21.69792536967694,21.626694228035937,False,-2.3103931884941202
SILVER,-12.258152104533071,STOP,2,2013-09-25 08:22:00,2013-09-25 09:40:00,21.68096768200756,21.604737658867794,False,-2.188786070633572
GOLD,-18.87330344767151,STOP,1,2013-09-26 02:32:00,2013-09-26 05:33:00,1332.4157665663347,1329.5031732044913,False,-3.5242480376619927
GOLD,-18.453938896669378,STOP,1,2013-09-26 05:34:00,2013-09-26 06:43:00,1332.29074785746,1329.485151086209,False,-3.707244259372386
GOLD,-14.731234888781296,STOP_SAME,0,2013-09-26 12:32:00,2013-09-26 12:33:00,1334.2981967475744,1331.1454856035496,False,-3.196378842469374
GOLD,-13.346224101321102,STOP,1,2013-09-26 12:48:00,2013-09-26 13:06:00,1334.1166035252127,1330.8751746217738,False,-3.0936277510356227
GOLD,0.4680180990755829,T1_T2,1,2013-09-27 18:12:00,2013-09-30 00:37:00,1335.346650436591,1339.3199725829613,True,0.1156406299352864
SILVER,-9.654356279413477,STOP,3,2013-09-27 18:04:00,2013-09-30 02:45:00,21.788675754957676,21.71983764781921,False,-2.3854544172035594
SILVER,-9.35982125085114,STOP,1,2013-09-30 03:05:00,2013-09-30 05:44:00,21.766125572351882,21.698586111039134,False,-2.4226586729897788
GOLD,-11.105129169474573,STOP,1,2013-09-30 09:31:00,2013-09-30 10:32:00,1338.517230681321,1335.1961872504253,False,-3.0207732393805395
GOLD,-10.632265474194517,STOP,2,2013-09-30 11:00:00,2013-09-30 12:00:00,1337.4217306964692,1334.1580097286087,False,-3.0781123167066973
SILVER,-6.191453643132189,STOP_SAME,0,2013-10-01 11:03:00,2013-10-01 11:10:00,21.722710432581376,21.629630890814298,False,-1.9100547019594072
SILVER,-6.012766146856418,STOP_SAME,0,2013-10-01 11:15:00,2013-10-01 11:18:00,21.71015644081778,21.618552244097575,False,-1.9286046701677422
GOLD,-9.121312529968433,STOP,1,2013-10-03 00:07:00,2013-10-03 05:56:00,1314.0974162254893,1310.8581661906492,False,-3.0430529792776326
SILVER,1.3101528740594788,T1_T2,1,2013-10-03 05:52:00,2013-10-03 06:37:00,21.670166795792852,21.7688985574824,True,0.46541920750845667
GOLD,-5.136065131978442,T1_STOP,2,2013-10-03 05:58:00,2013-10-03 07:14:00,1313.936956895505,1310.6932622003098,True,-1.8245377396536566
SILVER,-5.466356058939892,STOP,1,2013-10-03 07:46:00,2013-10-03 08:02:00,21.680040106022,21.593284885756688,False,-1.9961299591314892
GOLD,-0.35773424430705236,T1_T2,1,2013-10-03 23:58:00,2013-10-04 05:57:00,1314.7867200319647,1317.9173146614621,True,-0.13606460474182075
GOLD,-6.275030750480835,T1_STOP,4,2013-10-04 08:45:00,2013-10-04 11:52:00,1316.3808524932126,1313.6157196563252,True,-2.3932273685553334
GOLD,-0.5746565985552617,T1_T2_SAME,0,2013-10-04 12:15:00,2013-10-04 12:21:00,1315.093316292368,1318.006982451349,True,-0.23018539457069034
GOLD,-9.537385916336984,STOP_SAME,0,2013-10-07 07:17:00,2013-10-07 07:27:00,1312.4543194726953,1309.757307555845,False,-3.837979965875241
GOLD,-0.6272024657072345,T1_T2,4,2013-10-07 19:00:00,2013-10-08 00:58:00,1321.0780828689685,1323.9145264862327,True,-0.2733797257715689
SILVER,-6.1751069329402855,STOP,3,2013-10-10 17:24:00,2013-10-10 19:22:00,21.901133800397794,21.840823777181356,False,-2.7063508055979923
GOLD,-4.682965998473521,STOP,5,2013-10-14 15:13:00,2013-10-14 16:38:00,1280.2994138512706,1275.745817497832,False,-2.1698404007605916
GOLD,-4.645160946850939,STOP,1,2013-10-14 16:40:00,2013-10-14 16:54:00,1279.2982910000912,1274.9575791873363,False,-2.249964817334109
GOLD,-5.271570591564117,STOP,1,2013-10-16 08:50:00,2013-10-16 09:02:00,1279.1500780609438,1275.5839096429506,False,-2.67369150326647
GOLD,-4.940970651312138,STOP_SAME,0,2013-10-16 09:03:00,2013-10-16 09:12:00,1278.7718762980346,1275.170586998801,False,-2.647591131090612
SILVER,-1.9336281723717674,T1_STOP,2,2013-10-16 12:07:00,2013-10-16 12:43:00,21.210693427759214,21.134863594974796,True,-1.094055958504075
SILVER,0.5663809237488362,T1_T2,1,2013-10-16 12:44:00,2013-10-16 12:55:00,21.207237993402064,21.28714016798072,True,0.3276299126078407
